DataId,CommId,DeviceName,DeviceDateTime,AgeInSeconds,BatteryVoltage,GpsQuality,Latitude,Longitude,SubmergedPercent,Temperature0cm
9818759,"300234063602780","UOH-MS-0001",2015-10-19 04:00:36,14436,11.8,3,21.95952,-159.270447,12,26.45
9818515,"300234063602780","UOH-MS-0001",2015-10-19 03:00:08,10808,11.8,3,21.970079,-159.266815,9,26.5
9818438,"300234063602780","UOH-MS-0001",2015-10-19 02:00:09,7209,11.8,3,21.978979,-159.264374,9,26.55
9818140,"300234063602780","UOH-MS-0001",2015-10-19 01:00:08,3608,11.8,3,21.984179,-159.263596,8,26.55
9818065,"300234063602780","UOH-MS-0001",2015-10-19 00:01:27,87,11.8,3,21.984755,-159.26503,11,26.5
9817751,"300234063602780","UOH-MS-0001",2015-10-18 23:00:08,82808,11.8,3,21.98151,-159.266251,8,26.45
9817696,"300234063602780","UOH-MS-0001",2015-10-18 22:01:54,79314,11.8,3,21.978247,-159.267792,12,26.45
9817380,"300234063602780","UOH-MS-0001",2015-10-18 21:00:08,75608,11.8,3,21.977081,-159.268219,11,26.35
9817289,"300234063602780","UOH-MS-0001",2015-10-18 20:00:07,72007,11.8,3,21.978638,-159.268585,12,26.3
9816999,"300234063602780","UOH-MS-0001",2015-10-18 19:00:07,68407,11.8,3,21.981787,-159.267807,10,26.3
9816932,"300234063602780","UOH-MS-0001",2015-10-18 18:01:00,64860,11.8,3,21.989721,-159.266129,10,26.25
9816622,"300234063602780","UOH-MS-0001",2015-10-18 17:00:08,61208,11.8,3,21.999561,-159.264374,11,26.25
9816534,"300234063602780","UOH-MS-0001",2015-10-18 16:00:08,57608,11.8,3,22.01045,-159.260452,9,26.25
9816242,"300234063602780","UOH-MS-0001",2015-10-18 15:00:08,54008,11.8,3,22.02169,-159.257523,10,26.25
9816179,"300234063602780","UOH-MS-0001",2015-10-18 14:02:30,50550,11.8,3,22.029982,-159.256378,12,26.25
9815875,"300234063602780","UOH-MS-0001",2015-10-18 13:00:09,46809,11.8,3,22.038618,-159.253998,13,26.25
9815780,"300234063602780","UOH-MS-0001",2015-10-18 12:00:08,43208,11.8,3,22.044426,-159.251968,9,26.25
9815479,"300234063602780","UOH-MS-0001",2015-10-18 11:00:08,39608,11.8,3,22.047497,-159.251038,12,26.25
9815423,"300234063602780","UOH-MS-0001",2015-10-18 10:00:36,36036,11.8,3,22.048815,-159.249252,15,26.25
9815104,"300234063602780","UOH-MS-0001",2015-10-18 09:00:09,32409,11.8,3,22.04978,-159.249207,10,26.3
9815000,"300234063602780","UOH-MS-0001",2015-10-18 08:00:08,28808,11.8,3,22.050976,-159.250626,13,26.3
9814711,"300234063602780","UOH-MS-0001",2015-10-18 07:00:06,25206,11.8,3,22.053417,-159.250702,10,26.3
9814625,"300234063602780","UOH-MS-0001",2015-10-18 06:01:06,21666,11.8,3,22.059294,-159.247314,11,26.3
9814347,"300234063602780","UOH-MS-0001",2015-10-18 05:00:07,18007,11.8,3,22.070551,-159.24295,9,26.3
9814224,"300234063602780","UOH-MS-0001",2015-10-18 04:00:08,14408,11.8,3,22.087397,-159.238281,10,26.35
9813956,"300234063602780","UOH-MS-0001",2015-10-18 03:00:06,10806,11.8,3,22.108011,-159.237411,14,26.35
9813866,"300234063602780","UOH-MS-0001",2015-10-18 02:00:36,7236,11.8,3,22.130005,-159.237427,13,26.35
9813593,"300234063602780","UOH-MS-0001",2015-10-18 01:00:10,3610,11.8,3,22.153429,-159.241592,12,26.35
9813468,"300234063602780","UOH-MS-0001",2015-10-18 00:00:09,9,11.8,3,22.172201,-159.253067,11,26.35
9813226,"300234063602780","UOH-MS-0001",2015-10-17 23:00:08,82808,11.8,3,22.186001,-159.264069,12,26.3
9813137,"300234063602780","UOH-MS-0001",2015-10-17 22:01:01,79261,11.8,3,22.195436,-159.273254,12,26.3
9812827,"300234063602780","UOH-MS-0001",2015-10-17 21:00:09,75609,11.8,3,22.201138,-159.279327,14,26.25
9812719,"300234063602780","UOH-MS-0001",2015-10-17 20:00:08,72008,11.8,3,22.205711,-159.28537,12,26.2
9812446,"300234063602780","UOH-MS-0001",2015-10-17 19:00:09,68409,11.8,3,22.20949,-159.290314,12,26.2
9812365,"300234063602780","UOH-MS-0001",2015-10-17 18:01:07,64867,11.8,3,22.214127,-159.294983,16,26.2
9812042,"300234063602780","UOH-MS-0001",2015-10-17 17:00:09,61209,11.8,3,22.21884,-159.297516,13,26.2
9811979,"300234063602780","UOH-MS-0001",2015-10-17 16:00:07,57607,11.8,3,22.223886,-159.297806,13,26.2
9811649,"300234063602780","UOH-MS-0001",2015-10-17 15:00:07,54007,11.8,3,22.230453,-159.297089,9,26.2
9811584,"300234063602780","UOH-MS-0001",2015-10-17 14:01:07,50467,11.8,3,22.236599,-159.299789,14,26.2
9811242,"300234063602780","UOH-MS-0001",2015-10-17 13:00:08,46808,11.8,3,22.24427,-159.302505,13,26.2
9811168,"300234063602780","UOH-MS-0001",2015-10-17 12:00:09,43209,11.8,3,22.251554,-159.307068,13,26.25
9810879,"300234063602780","UOH-MS-0001",2015-10-17 11:00:08,39608,11.8,3,22.257683,-159.314835,9,26.25
9810804,"300234063602780","UOH-MS-0001",2015-10-17 10:00:55,36055,11.8,3,22.26553,-159.321198,11,26.25
9810480,"300234063602780","UOH-MS-0001",2015-10-17 09:00:08,32408,11.8,3,22.271599,-159.325256,9,26.25
9810351,"300234063602780","UOH-MS-0001",2015-10-17 08:00:08,28808,11.8,3,22.276506,-159.332657,11,26.25
9810112,"300234063602780","UOH-MS-0001",2015-10-17 07:00:55,25255,11.8,3,22.282251,-159.341522,10,26.3
9809962,"300234063602780","UOH-MS-0001",2015-10-17 06:00:09,21609,11.8,3,22.289234,-159.351608,12,26.3
9809684,"300234063602780","UOH-MS-0001",2015-10-17 05:00:08,18008,11.8,3,22.292549,-159.360046,12,26.3
9809595,"300234063602780","UOH-MS-0001",2015-10-17 04:01:30,14490,11.8,3,22.293354,-159.367065,10,26.35
9809298,"300234063602780","UOH-MS-0001",2015-10-17 03:00:09,10809,11.8,3,22.295509,-159.373856,12,26.35
9809176,"300234063602780","UOH-MS-0001",2015-10-17 02:00:08,7208,11.8,3,22.29845,-159.379791,11,26.4
9808944,"300234063602780","UOH-MS-0001",2015-10-17 01:01:31,3691,11.8,3,22.298826,-159.384888,10,26.4
9808791,"300234063602780","UOH-MS-0001",2015-10-17 00:00:09,9,11.8,3,22.299959,-159.38974,11,26.4
9808515,"300234063602780","UOH-MS-0001",2015-10-16 23:00:09,82809,11.8,3,22.302052,-159.394196,9,26.35
9808449,"300234063602780","UOH-MS-0001",2015-10-16 22:02:37,79357,11.8,3,22.30261,-159.39772,10,26.35
9808128,"300234063602780","UOH-MS-0001",2015-10-16 21:00:09,75609,11.8,3,22.305803,-159.399597,9,26.25
9808000,"300234063602780","UOH-MS-0001",2015-10-16 20:00:08,72008,11.8,3,22.309086,-159.402695,10,26.2
9807743,"300234063602780","UOH-MS-0001",2015-10-16 19:00:08,68408,11.8,3,22.311079,-159.407059,10,26.2
9807628,"300234063602780","UOH-MS-0001",2015-10-16 18:01:00,64860,11.8,3,22.314932,-159.412033,11,26.2
9807282,"300234063602780","UOH-MS-0001",2015-10-16 17:00:08,61208,11.8,3,22.319372,-159.414688,9,26.2
9807182,"300234063602780","UOH-MS-0001",2015-10-16 16:00:08,57608,11.8,3,22.322454,-159.415695,11,26.2
9806854,"300234063602780","UOH-MS-0001",2015-10-16 15:00:07,54007,11.8,3,22.323601,-159.41655,11,26.2
9806796,"300234063602780","UOH-MS-0001",2015-10-16 14:01:30,50490,11.8,3,22.32452,-159.418198,11,26.2
9806479,"300234063602780","UOH-MS-0001",2015-10-16 13:00:08,46808,11.8,3,22.325956,-159.419098,13,26.2
9806396,"300234063602780","UOH-MS-0001",2015-10-16 12:00:07,43207,11.8,3,22.326752,-159.423218,11,26.25
9806083,"300234063602780","UOH-MS-0001",2015-10-16 11:00:08,39608,11.8,3,22.32625,-159.428207,11,26.25
9806033,"300234063602780","UOH-MS-0001",2015-10-16 10:01:06,36066,11.8,3,22.325151,-159.434067,12,26.25
9805709,"300234063602780","UOH-MS-0001",2015-10-16 09:00:08,32408,11.8,3,22.325554,-159.439423,10,26.25
9805565,"300234063602780","UOH-MS-0001",2015-10-16 08:00:08,28808,11.8,3,22.325092,-159.443649,11,26.3
9805317,"300234063602780","UOH-MS-0001",2015-10-16 07:00:07,25207,11.8,3,22.325047,-159.445969,10,26.3
9805231,"300234063602780","UOH-MS-0001",2015-10-16 06:02:00,21720,11.8,3,22.32839,-159.447845,10,26.3
9804939,"300234063602780","UOH-MS-0001",2015-10-16 05:00:08,18008,11.8,3,22.332022,-159.449402,9,26.3
9804810,"300234063602780","UOH-MS-0001",2015-10-16 04:00:08,14408,11.8,3,22.33478,-159.451492,10,26.35
9804565,"300234063602780","UOH-MS-0001",2015-10-16 03:00:08,10808,11.8,3,22.33939,-159.453903,9,26.35
9804464,"300234063602780","UOH-MS-0001",2015-10-16 02:00:54,7254,11.8,3,22.342964,-159.456955,11,26.4
9804204,"300234063602780","UOH-MS-0001",2015-10-16 01:00:36,3636,11.8,3,22.345142,-159.461304,8,26.4
9804082,"300234063602780","UOH-MS-0001",2015-10-16 00:00:12,12,11.8,3,22.345985,-159.463089,10,26.4
9803820,"300234063602780","UOH-MS-0001",2015-10-15 23:00:54,82854,11.8,3,22.345453,-159.466843,13,26.4
9803703,"300234063602780","UOH-MS-0001",2015-10-15 22:00:36,79236,11.8,3,22.343561,-159.4711,10,26.35
9803417,"300234063602780","UOH-MS-0001",2015-10-15 21:00:08,75608,11.8,3,22.341543,-159.475174,10,26.3
9803333,"300234063602780","UOH-MS-0001",2015-10-15 20:00:36,72036,11.8,3,22.339725,-159.476547,10,26.3
9803027,"300234063602780","UOH-MS-0001",2015-10-15 19:00:08,68408,11.8,3,22.340273,-159.473206,8,26.25
9802960,"300234063602780","UOH-MS-0001",2015-10-15 18:01:01,64861,11.8,3,22.344162,-159.471497,10,26.25
9802645,"300234063602780","UOH-MS-0001",2015-10-15 17:00:09,61209,11.8,3,22.350698,-159.467499,11,26.25
9802573,"300234063602780","UOH-MS-0001",2015-10-15 16:00:08,57608,11.8,3,22.355442,-159.463089,12,26.2
9802264,"300234063602780","UOH-MS-0001",2015-10-15 15:00:08,54008,11.8,3,22.359354,-159.460419,11,26.2
9802215,"300234063602780","UOH-MS-0001",2015-10-15 14:02:31,50551,11.8,3,22.36179,-159.457581,10,26.15
9801875,"300234063602780","UOH-MS-0001",2015-10-15 13:00:08,46808,11.8,3,22.363653,-159.454208,10,26.15
9801797,"300234063602780","UOH-MS-0001",2015-10-15 12:00:08,43208,11.8,3,22.36401,-159.452179,10,26.15
9801487,"300234063602780","UOH-MS-0001",2015-10-15 11:00:07,39607,11.8,3,22.363964,-159.448288,12,26.15
9801447,"300234063602780","UOH-MS-0001",2015-10-15 10:02:31,36151,11.8,3,22.363415,-159.444092,14,26.15
9801107,"300234063602780","UOH-MS-0001",2015-10-15 09:00:07,32407,11.8,3,22.365892,-159.438477,13,26.2
9800969,"300234063602780","UOH-MS-0001",2015-10-15 08:00:07,28807,11.8,3,22.369616,-159.432205,12,26.2
9800720,"300234063602780","UOH-MS-0001",2015-10-15 07:00:07,25207,11.8,3,22.374128,-159.425842,14,26.2
9800652,"300234063602780","UOH-MS-0001",2015-10-15 06:02:37,21757,11.8,3,22.380386,-159.421432,12,26.2
9800357,"300234063602780","UOH-MS-0001",2015-10-15 05:00:09,18009,11.8,3,22.388147,-159.418686,11,26.2
9800227,"300234063602780","UOH-MS-0001",2015-10-15 04:00:08,14408,11.8,3,22.396132,-159.41864,9,26.25
9799959,"300234063602780","UOH-MS-0001",2015-10-15 03:00:09,10809,11.8,3,22.402863,-159.419907,12,26.25
9799881,"300234063602780","UOH-MS-0001",2015-10-15 02:01:01,7261,11.8,3,22.40724,-159.421555,10,26.3
9799575,"300234063602780","UOH-MS-0001",2015-10-15 01:00:08,3608,11.8,3,22.409576,-159.422104,11,26.3
9799466,"300234063602780","UOH-MS-0001",2015-10-15 00:00:08,8,11.8,3,22.410351,-159.420929,11,26.35
9799203,"300234063602780","UOH-MS-0001",2015-10-14 23:00:08,82808,11.8,3,22.408161,-159.417267,10,26.3
9799121,"300234063602780","UOH-MS-0001",2015-10-14 22:01:24,79284,11.8,3,22.407887,-159.413452,10,26.3
9798820,"300234063602780","UOH-MS-0001",2015-10-14 21:00:10,75610,11.8,3,22.410954,-159.404144,11,26.25
9798678,"300234063602780","UOH-MS-0001",2015-10-14 20:00:08,72008,11.8,3,22.415997,-159.395081,10,26.25
9798376,"300234063602780","UOH-MS-0001",2015-10-14 19:00:08,68408,11.8,3,22.422157,-159.388214,13,26.25
9798256,"300234063602780","UOH-MS-0001",2015-10-14 18:01:24,64884,11.8,3,22.425541,-159.384232,14,26.2
9797874,"300234063602780","UOH-MS-0001",2015-10-14 17:00:07,61207,11.8,3,22.429996,-159.380798,13,26.2
9797770,"300234063602780","UOH-MS-0001",2015-10-14 16:00:07,57607,11.8,3,22.436878,-159.377121,12,26.2
9797442,"300234063602780","UOH-MS-0001",2015-10-14 15:00:09,54009,11.8,3,22.443493,-159.371338,12,26.2
9797389,"300234063602780","UOH-MS-0001",2015-10-14 14:00:54,50454,11.8,3,22.449329,-159.365173,15,26.2
9797057,"300234063602780","UOH-MS-0001",2015-10-14 13:00:09,46809,11.8,3,22.454777,-159.359085,12,26.2
9796949,"300234063602780","UOH-MS-0001",2015-10-14 12:00:09,43209,11.8,3,22.458776,-159.351501,13,26.25
9796670,"300234063602780","UOH-MS-0001",2015-10-14 11:00:08,39608,11.8,3,22.461958,-159.342209,9,26.25
9796585,"300234063602780","UOH-MS-0001",2015-10-14 10:01:30,36090,11.8,3,22.465918,-159.333328,8,26.25
9796247,"300234063602780","UOH-MS-0001",2015-10-14 09:00:08,32408,11.8,3,22.475113,-159.323303,10,26.3
9796097,"300234063602780","UOH-MS-0001",2015-10-14 08:00:08,28808,11.8,3,22.48715,-159.315964,10,26.3
9795852,"300234063602780","UOH-MS-0001",2015-10-14 07:00:08,25208,11.8,3,22.500813,-159.310287,8,26.35
9795727,"300234063602780","UOH-MS-0001",2015-10-14 06:00:37,21637,11.8,3,22.513996,-159.305588,11,26.35
9795461,"300234063602780","UOH-MS-0001",2015-10-14 05:00:07,18007,11.8,3,22.529236,-159.301331,11,26.35
9795306,"300234063602780","UOH-MS-0001",2015-10-14 04:00:07,14407,11.8,3,22.543419,-159.297745,10,26.4
9795057,"300234063602780","UOH-MS-0001",2015-10-14 03:00:07,10807,11.8,3,22.557261,-159.296463,10,26.45
9794958,"300234063602780","UOH-MS-0001",2015-10-14 02:00:36,7236,11.8,3,22.568323,-159.296646,13,26.45
9794682,"300234063602780","UOH-MS-0001",2015-10-14 01:00:08,3608,11.8,3,22.578115,-159.293381,9,26.45
9794568,"300234063602780","UOH-MS-0001",2015-10-14 00:00:08,8,11.8,3,22.589041,-159.289627,10,26.45
9794288,"300234063602780","UOH-MS-0001",2015-10-13 23:00:07,82807,11.8,3,22.596735,-159.286865,9,26.45
9794222,"300234063602780","UOH-MS-0001",2015-10-13 22:01:06,79266,11.8,3,22.603724,-159.283127,9,26.4
9793911,"300234063602780","UOH-MS-0001",2015-10-13 21:00:08,75608,11.8,3,22.612858,-159.280594,10,26.35
9793795,"300234063602780","UOH-MS-0001",2015-10-13 20:00:09,72009,11.8,3,22.621904,-159.282242,11,26.3
9793536,"300234063602780","UOH-MS-0001",2015-10-13 19:00:08,68408,11.8,3,22.63055,-159.285446,10,26.3
9793439,"300234063602780","UOH-MS-0001",2015-10-13 18:00:36,64836,11.8,3,22.639753,-159.287689,12,26.3
9793119,"300234063602780","UOH-MS-0001",2015-10-13 17:00:08,61208,11.8,3,22.64772,-159.289963,13,26.25
9793018,"300234063602780","UOH-MS-0001",2015-10-13 16:00:09,57609,11.8,3,22.656752,-159.292343,9,26.3
9792717,"300234063602780","UOH-MS-0001",2015-10-13 15:00:06,54006,11.8,3,22.664129,-159.291061,11,26.3
9792645,"300234063602780","UOH-MS-0001",2015-10-13 14:00:54,50454,11.8,3,22.670708,-159.286301,9,26.3
9792318,"300234063602780","UOH-MS-0001",2015-10-13 13:00:07,46807,11.8,3,22.675493,-159.283936,12,26.3
9792205,"300234063602780","UOH-MS-0001",2015-10-13 12:00:05,43205,11.8,3,22.677071,-159.280685,9,26.3
9791922,"300234063602780","UOH-MS-0001",2015-10-13 11:00:36,39636,11.8,3,22.679312,-159.274719,9,26.3
9791804,"300234063602780","UOH-MS-0001",2015-10-13 10:00:09,36009,11.8,3,22.683384,-159.268127,10,26.25
9791501,"300234063602780","UOH-MS-0001",2015-10-13 09:00:08,32408,11.8,3,22.686737,-159.263,11,26.25
9791361,"300234063602780","UOH-MS-0001",2015-10-13 08:00:37,28837,11.8,3,22.690729,-159.257675,11,26.2
9791078,"300234063602780","UOH-MS-0001",2015-10-13 07:00:09,25209,11.8,3,22.696007,-159.251923,11,26.25
9790931,"300234063602780","UOH-MS-0001",2015-10-13 06:00:08,21608,11.8,3,22.701994,-159.245331,10,26.25
9790694,"300234063602780","UOH-MS-0001",2015-10-13 05:00:55,18055,11.8,3,22.707968,-159.238739,9,26.25
9790519,"300234063602780","UOH-MS-0001",2015-10-13 04:00:10,14410,11.8,3,22.715082,-159.230865,9,26.3
9790266,"300234063602780","UOH-MS-0001",2015-10-13 03:00:08,10808,11.8,3,22.723051,-159.220459,10,26.35
9790146,"300234063602780","UOH-MS-0001",2015-10-13 02:00:38,7238,11.8,3,22.732212,-159.209137,10,26.35
9789861,"300234063602780","UOH-MS-0001",2015-10-13 01:00:08,3608,11.8,3,22.744564,-159.19841,10,26.35
9789713,"300234063602780","UOH-MS-0001",2015-10-13 00:00:09,9,11.8,3,22.75943,-159.189606,11,26.35
9789478,"300234063602780","UOH-MS-0001",2015-10-12 23:00:37,82837,11.8,3,22.775623,-159.18483,11,26.3
9789323,"300234063602780","UOH-MS-0001",2015-10-12 22:00:07,79207,11.8,3,22.789347,-159.183273,9,26.25
9789082,"300234063602780","UOH-MS-0001",2015-10-12 21:00:37,75637,11.8,3,22.800446,-159.185196,12,26.2
9788929,"300234063602780","UOH-MS-0001",2015-10-12 20:00:13,72013,11.8,3,22.809814,-159.188339,11,26.15
9788617,"300234063602780","UOH-MS-0001",2015-10-12 19:00:08,68408,11.8,3,22.816851,-159.191833,9,26.1
9788504,"300234063602780","UOH-MS-0001",2015-10-12 18:01:06,64866,11.8,3,22.821648,-159.197357,11,26.1
9788171,"300234063602780","UOH-MS-0001",2015-10-12 17:00:09,61209,11.8,3,22.824665,-159.199493,12,26.1
9788052,"300234063602780","UOH-MS-0001",2015-10-12 16:00:08,57608,11.8,3,22.824574,-159.199158,10,26.1
9787724,"300234063602780","UOH-MS-0001",2015-10-12 15:00:09,54009,11.8,3,22.824167,-159.196198,9,26.1
9787648,"300234063602780","UOH-MS-0001",2015-10-12 14:00:54,50454,11.8,3,22.825043,-159.191269,10,26.1
9787317,"300234063602780","UOH-MS-0001",2015-10-12 13:00:09,46809,11.8,3,22.823801,-159.183182,8,26.1
9787236,"300234063602780","UOH-MS-0001",2015-10-12 12:00:09,43209,11.8,3,22.821669,-159.175369,11,26.1
9786929,"300234063602780","UOH-MS-0001",2015-10-12 11:00:08,39608,11.8,3,22.823095,-159.167877,12,26.1
9786838,"300234063602780","UOH-MS-0001",2015-10-12 10:01:00,36060,11.8,3,22.826475,-159.161591,12,26.15
9786516,"300234063602780","UOH-MS-0001",2015-10-12 09:00:06,32406,11.8,3,22.829865,-159.156021,12,26.15
9786393,"300234063602780","UOH-MS-0001",2015-10-12 08:00:08,28808,11.8,3,22.834965,-159.149155,13,26.15
9786135,"300234063602780","UOH-MS-0001",2015-10-12 07:01:04,25264,11.8,3,22.839882,-159.143234,10,26.15
9785990,"300234063602780","UOH-MS-0001",2015-10-12 06:00:08,21608,11.8,3,22.842999,-159.136292,10,26.15
9785705,"300234063602780","UOH-MS-0001",2015-10-12 05:00:08,18008,11.8,3,22.846962,-159.129349,11,26.2
9785558,"300234063602780","UOH-MS-0001",2015-10-12 04:00:36,14436,11.8,3,22.853743,-159.121994,13,26.2
9785298,"300234063602780","UOH-MS-0001",2015-10-12 03:00:08,10808,11.8,3,22.857908,-159.113464,10,26.25
9785177,"300234063602780","UOH-MS-0001",2015-10-12 02:00:07,7207,11.8,3,22.862331,-159.103546,8,26.3
9784873,"300234063602780","UOH-MS-0001",2015-10-12 01:00:08,3608,11.8,3,22.86788,-159.09465,11,26.35
9784816,"300234063602780","UOH-MS-0001",2015-10-12 00:02:36,156,11.8,3,22.873652,-159.089584,9,26.35
9784472,"300234063602780","UOH-MS-0001",2015-10-11 23:00:08,82808,11.8,3,22.882545,-159.085617,10,26.35
9784374,"300234063602780","UOH-MS-0001",2015-10-11 22:00:08,79208,11.8,3,22.890926,-159.08252,12,26.3
9784066,"300234063602780","UOH-MS-0001",2015-10-11 21:00:08,75608,11.8,3,22.898758,-159.079987,11,26.25
9783983,"300234063602780","UOH-MS-0001",2015-10-11 20:00:54,72054,11.8,3,22.904703,-159.078018,10,26.15
9783658,"300234063602780","UOH-MS-0001",2015-10-11 19:00:11,68411,11.8,3,22.910984,-159.077301,8,26.15
9783542,"300234063602780","UOH-MS-0001",2015-10-11 18:00:07,64807,11.8,3,22.916929,-159.0737,11,26.1
9783231,"300234063602780","UOH-MS-0001",2015-10-11 17:00:07,61207,11.8,3,22.923145,-159.069839,12,26.1
9783159,"300234063602780","UOH-MS-0001",2015-10-11 16:00:54,57654,11.8,3,22.928032,-159.06572,10,26.1
9782844,"300234063602780","UOH-MS-0001",2015-10-11 15:00:24,54024,11.8,3,22.930082,-159.059998,11,26.15
9782741,"300234063602780","UOH-MS-0001",2015-10-11 14:00:09,50409,11.8,3,22.932165,-159.052948,10,26.15
9782440,"300234063602780","UOH-MS-0001",2015-10-11 13:00:08,46808,11.8,3,22.935665,-159.045258,11,26.15
9782353,"300234063602780","UOH-MS-0001",2015-10-11 12:00:36,43236,11.8,3,22.940622,-159.037949,11,26.15
9782043,"300234063602780","UOH-MS-0001",2015-10-11 11:00:08,39608,11.8,3,22.946457,-159.029266,12,26.15
